,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"Afghanistan","Data source","All types","0.01","0.01","0.02","0.00","0.01","0.01","0.01","0.01","0.01"
"Albania","Data source","All types","4.70","4.75","4.67","4.54","4.33","4.54","4.74","5.42","5.28"
"Algeria","Data source","All types","0.58","0.58","0.60","0.58","0.54","0.50","0.43","0.40","0.35"
"Andorra","Data source","All types","9.75","9.93","9.94","9.85","9.89","10.07","10.34","10.46","10.58"
"Angola","Data source","All types","5.35","5.47","5.38","5.94","7.49","7.01","7.14","6.95","6.83"
"Antigua and Barbuda","Data source","All types","8.72","7.73","7.55","7.59","7.39","7.62","7.44","7.28","7.41"
"Argentina","Data source","All types","8.22","8.22","8.31","8.43","7.87","8.20","7.92","7.61","8.15"
"Armenia","Data source","All types","3.71","3.83","3.82","4.04","4.22","3.92","3.89","4.07","4.23"
"Australia","Data source","All types","9.51","9.49","9.79","9.68","9.90","10.00","10.03","10.30","10.52"
"Austria","Data source","All types","11.80","11.70","11.70","11.60","12.20","11.60","12.10","11.90","12.10"
"Azerbaijan","Data source","All types","2.92","2.92","3.05","4.14","2.00","2.08","2.01","1.97","1.92"
"Bahamas","Data source","All types","8.90","8.84","8.69","8.71","8.78","8.64","8.72","8.81","8.72"
"Bahrain","Data source","All types","1.23","1.25","1.39","1.53","1.57","1.65","1.72","1.66","1.96"
"Bangladesh","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Barbados","Data source","All types","9.35","9.39","9.27","9.00","8.86","8.63","8.59","8.39","8.25"
"Belarus","Data source","All types","10.09","9.75","9.70","9.72","11.21","12.49","13.47","14.41","14.34"
"Belgium","Data source","All types","9.42","9.42","9.42","10.36","10.57","10.33","10.09","10.14","10.27"
"Belize","Data source","All types","5.61","5.76","6.11","6.26","6.19","6.17","6.25","6.29","6.43"
"Benin","Data source","All types","1.37","1.37","1.46","1.56","1.59","1.44","1.48","1.50","1.42"
"Bhutan","Data source","All types","0.06","0.06","0.02","0.04","0.19","0.28","0.30","0.23","0.22"
"Bolivia (Plurinational State of)","Data source","All types","3.34","3.34","3.41","3.44","3.48","3.53","3.58","3.64","3.71"
"Bosnia and Herzegovina","Data source","All types","4.99","4.97","4.81","4.73","4.64","4.59","4.76","4.67","4.55"
"Botswana","Data source","All types","4.81","4.80","5.14","5.12","4.97","4.81","5.22","6.10","5.69"
"Brazil","Data source","All types","6.19","6.24","6.33","6.59","6.88","6.82","7.08","7.11","7.12"
"Brunei Darussalam","Data source","All types","0.66","0.66","0.66","0.67","0.67","0.69","0.67","0.92","0.88"
"Bulgaria","Data source","All types","11.42","11.28","11.48","11.24","10.65","10.67","11.23","10.22","10.16"
"Burkina Faso","Data source","All types","7.20","7.20","7.11","7.12","7.04","5.56","5.69","5.43","5.51"
"Burundi","Data source","All types","4.00","4.00","3.89","3.92","3.86","3.88","4.22","4.45","4.48"
"Cabo Verde","Data source","All types","4.13","4.13","4.11","4.39","4.17","3.82","5.05","5.14","4.81"
"Cambodia","Data source","All types","3.70","3.70","3.50","3.34","3.06","2.80","2.52","2.40","2.16"
"Cameroon","Data source","All types","4.19","4.19","4.15","4.59","4.77","6.66","6.52","5.98","5.96"
"Canada","Data source","All types","8.20","8.20","8.10","8.00","8.00","8.20","8.30","8.20","8.30"
"Central African Republic","Data source","All types","0.88","0.88","0.87","0.87","0.75","1.62","1.87","1.89","1.87"
"Chad","Data source","All types","0.42","0.42","0.50","0.50","0.50","0.62","1.00","1.02","1.04"
"Chile","Data source","All types","7.84","7.84","7.78","7.89","7.92","7.23","8.35","7.02","7.55"
"China","Data source","All types","5.62","5.64","5.63","5.66","5.76","5.76","5.69","5.57","5.75"
"Colombia","Data source","All types","4.29","4.33","4.54","4.48","4.34","4.33","4.36","4.28","4.19"
"Comoros","Data source","All types","0.23","0.23","0.23","0.23","0.19","0.25","0.11","0.11","0.14"
"Congo","Data source","All types","5.75","5.68","5.86","4.39","4.49","4.34","4.27","4.12","3.94"
"Costa Rica","Data source","All types","3.79","3.84","3.77","3.72","3.64","3.60","3.51","3.58","3.75"
"Côte d'Ivoire","Data source","All types","1.45","1.58","1.53","1.58","1.39","1.22","1.25","1.17","1.13"
"Croatia","Data source","All types","10.10","10.06","10.39","9.99","9.87","10.76","10.96","11.40","11.10"
"Cuba","Data source","All types","4.50","4.46","4.35","4.42","4.30","4.13","4.09","4.11","4.07"
"Cyprus","Data source","All types","9.59","9.59","9.59","9.59","9.63","9.07","10.58","10.71","11.33"
"Czechia","Data source","All types","12.93","12.93","12.93","12.76","12.74","12.53","12.82","12.56","12.68"
"Democratic People's Republic of Korea","Data source","All types","3.30","3.30","3.30","3.30","3.36","3.34","3.60","3.38","3.11"
"Democratic Republic of the Congo","Data source","All types","0.58","0.58","0.61","0.60","0.80","0.83","0.73","0.71","0.63"
"Denmark","Data source","All types","9.31","9.30","9.51","9.42","9.56","9.44","9.23","10.45","10.27"
"Djibouti","Data source","All types","0.25","0.28","0.33","0.32","0.33","0.36","0.41","0.39","0.49"
"Dominica","Data source","All types","9.63","9.63","9.88","9.97","9.99","10.20","10.10","10.11","10.22"
"Dominican Republic","Data source","All types","5.54","5.60","5.55","5.59","5.47","5.53","5.52","5.48","5.54"
"Ecuador","Data source","All types","3.16","3.08","3.34","3.88","3.98","3.98","4.12","4.21","4.28"
"Egypt","Data source","All types","0.13","0.13","0.15","0.18","0.19","0.19","0.19","0.19","0.20"
"El Salvador","Data source","All types","2.82","2.81","2.64","2.54","2.45","2.34","2.41","2.31","2.29"
"Equatorial Guinea","Data source","All types","5.68","5.98","7.26","8.05","8.57","8.88","9.71","9.30","8.88"
"Eritrea","Data source","All types","0.67","0.67","0.68","0.72","0.73","0.74","0.75","0.88","0.84"
"Estonia","Data source","All types","11.20","13.27","15.95","16.70","17.35","17.77","16.91","16.18","14.83"
"Eswatini","Data source","All types","7.46","7.46","7.50","7.29","7.38","6.47","5.50","5.93","5.66"
"Ethiopia","Data source","All types","0.95","0.95","0.86","0.62","0.53","0.46","0.44","0.35","0.31"
"Fiji","Data source","All types","2.42","2.42","2.41","2.43","2.49","2.51","2.24","2.13","2.25"
"Finland","Data source","All types","8.37","8.37","8.44","8.52","8.76","9.08","9.27","9.81","9.72"
"France","Data source","All types","11.24","11.69","11.74","11.87","12.07","11.73","12.22","12.35","12.30"
"Gabon","Data source","All types","7.16","7.19","7.50","8.15","8.24","7.60","7.41","7.90","8.23"
"Gambia","Data source","All types","2.80","2.80","2.79","2.96","2.93","2.89","2.96","2.92","3.06"
"Georgia","Data source","All types","5.44","5.83","7.51","7.52","6.86","6.70","7.12","8.12","7.53"
"Germany","Data source","All types","10.81","10.81","10.93","11.05","11.06","11.07","11.31","11.32","11.21"
"Ghana","Data source","All types","1.56","1.67","1.62","1.84","1.88","1.89","1.91","1.84","1.73"
"Greece","Data source","All types","6.10","6.40","6.37","6.57","6.96","7.44","7.50","7.34","8.20"
"Grenada","Data source","All types","9.14","9.12","8.87","8.69","8.54","8.53","8.51","8.37","8.36"
"Guatemala","Data source","All types","1.62","1.60","1.59","1.64","1.68","1.82","1.90","2.04","2.02"
"Guinea","Data source","All types","0.31","0.31","0.35","0.37","0.31","0.24","0.23","0.22","0.20"
"Guinea-Bissau","Data source","All types","3.23","3.23","3.10","2.98","2.97","2.86","2.96","3.11","2.98"
"Guyana","Data source","All types","5.42","5.56","5.88","5.94","6.29","6.14","6.11","6.01","5.92"
"Haiti","Data source","All types","2.74","2.80","2.72","2.67","2.69","2.88","2.47","2.40","2.32"
"Honduras","Data source","All types","2.73","2.68","2.54","2.51","2.43","2.69","2.70","2.72","2.69"
"Hungary","Data source","All types","10.79","10.79","11.28","10.95","10.92","10.73","11.13","11.37","10.70"
"Iceland","Data source","All types","7.72","7.75","7.50","7.66","7.01","6.80","6.82","6.84","6.79"
"India","Data source","All types","3.05","2.86","2.97","3.01","3.01","3.05","3.06","2.96","2.74"
"Indonesia","Data source","All types","0.08","0.08","0.08","0.08","0.09","0.09","0.08","0.08","0.08"
"Iran (Islamic Republic of)","Data source","All types","0.03","0.03","0.02","0.01","0.01","0.01","0.02","0.03","0.03"
"Iraq","Data source","All types","0.17","0.17","0.16","0.14","0.15","0.17","0.20","0.18","0.19"
"Ireland","Data source","All types","11.20","11.12","11.22","10.68","10.73","10.35","11.20","11.30","11.38"
"Israel","Data source","All types","2.99","2.98","2.69","2.71","2.69","2.87","2.85","2.78","2.74"
"Italy","Data source","All types","7.81","7.37","7.10","7.14","7.33","7.34","7.48","6.97","6.95"
"Jamaica","Data source","All types","3.63","3.47","3.38","3.48","3.42","3.44","3.37","3.35","3.37"
"Japan","Data source","All types","6.82","6.80","6.82","6.85","6.71","6.96","6.83","6.86","6.88"
"Jordan","Data source","All types","0.28","0.30","0.32","0.32","0.37","0.37","0.38","0.40","0.48"
"Kazakhstan","Data source","All types","3.66","3.66","3.55","3.30","3.61","3.76","3.69","3.38","3.90"
"Kenya","Data source","All types","1.71","1.65","1.63","1.53","1.38","1.57","1.53","1.51","1.55"
"Kiribati","Data source","All types","0.36","0.36","0.38","0.37","0.50","0.75","0.37","0.52","0.46"
"Kuwait","Data source","All types","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Kyrgyzstan","Data source","All types","3.88","4.11","4.57","4.72","5.60","5.74","5.83","6.03","6.09"
"Lao People's Democratic Republic","Data source","All types","7.26","7.26","7.11","6.84","6.64","6.42","6.30","6.26","6.05"
"Latvia","Data source","All types","12.60","12.60","11.30","10.80","10.60","10.43","10.20","10.11","9.83"
"Lebanon","Data source","All types","1.33","1.32","1.27","1.24","1.27","1.27","1.33","1.41","1.50"
"Lesotho","Data source","All types","2.82","2.82","2.89","2.81","2.60","2.58","2.46","2.40","2.80"
"Liberia","Data source","All types","3.55","3.55","3.53","3.52","3.47","3.73","3.76","3.75","3.64"
"Libya","Data source","All types","0.01","0.01","0.00","0.01","0.03","0.01","0.02","0.00","0.01"
"Lithuania","Data source","All types","11.49","11.96","13.39","14.20","14.93","14.75","14.87","14.72","13.22"
"Luxembourg","Data source","All types","10.94","11.16","11.24","11.36","11.41","11.25","11.66","11.74","11.84"
"Madagascar","Data source","All types","0.91","0.91","0.89","0.88","0.78","0.85","0.86","0.90","0.96"
"Malawi","Data source","All types","2.00","2.00","2.00","1.99","1.94","1.94","1.79","1.81","1.63"
"Malaysia","Data source","All types","0.58","0.58","0.59","0.54","0.55","0.56","0.57","0.55","0.52"
"Maldives","Data source","All types","1.11","1.11","1.12","1.09","1.12","1.15","1.14","1.64","1.50"
"Mali","Data source","All types","0.59","0.59","0.58","0.59","0.58","0.59","0.62","0.61","0.59"
"Malta","Data source","All types","7.87","7.78","7.51","7.29","7.37","7.37","7.20","6.89","6.98"
"Mauritania","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01"
"Mauritius","Data source","All types","3.09","3.10","3.07","2.61","2.82","2.98","2.97","3.04","2.96"
"Mexico","Data source","All types","4.25","4.25","4.25","4.24","3.94","3.81","3.86","4.00","4.05"
"Micronesia (Federated States of)","Data source","All types","1.59","1.59","1.59","1.59","1.59","1.67","2.98","1.91","1.78"
"Mongolia","Data source","All types","5.77","6.24","6.90","8.40","9.93","12.64","7.55","6.66","7.74"
"Montenegro","Data source","All types","9.29","9.18","8.97","8.34","8.44","9.51","9.25","8.91","9.83"
"Morocco","Data source","All types","0.43","0.43","0.40","0.39","0.41","0.45","0.46","0.46","0.47"
