,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Afghanistan","Data source","All types","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albania","Data source","All types","2.19","1.54","2.22","3.12","2.87","2.77","1.49","1.35","1.28","2.03","1.73","1.67","1.63","1.39","1.60","1.58","1.68","1.51","1.84","1.79"
"Algeria","Data source","All types","0.23","0.26","0.28","0.29","0.29","0.25","0.24","0.20","0.18","0.19","0.40","0.42","0.28","0.29","0.31","0.33","0.33","0.42","0.46","0.48"
"Angola","Data source","All types","1.97","2.51","2.59","2.07","1.95","2.00","1.79","2.67","2.14","2.12","2.29","1.89","1.63","1.69","2.06","1.94","1.75","1.96","2.46","1.73"
"Antigua and Barbuda","Data source","All types","5.65","5.35","5.45","5.44","5.08","4.77","4.30","4.50","4.42","5.14","4.69","3.87","3.68","3.55","3.57","5.41","4.33","3.17","3.72","1.67"
"Argentina","Data source","All types","9.21","9.21","10.25","9.93","10.13","10.94","11.56","12.09","12.32","11.66","10.82","11.49","12.76","12.89","12.75","13.84","14.49","14.57","15.29","16.60"
"Armenia","Data source","All types","2.16","1.90","2.84","2.92","2.98","4.34","2.71","2.52","2.98","3.18","","","","","","","","","",""
"Australia","Data source","All types","9.88","9.79","9.91","9.77","9.69","9.89","9.63","10.32","10.64","11.01","12.09","12.39","12.45","12.30","12.89","12.74","12.76","13.05","13.46","13.30"
"Austria","Data source","All types","12.80","12.90","12.90","13.50","13.40","12.50","13.50","13.60","14.10","13.90","13.90","13.70","13.50","13.60","13.30","13.90","14.00","13.50","13.50","13.60"
"Azerbaijan","Data source","All types","1.16","1.70","0.71","1.44","1.23","1.37","2.91","4.31","2.88","2.92","","","","","","","","","",""
"Bahamas","Data source","All types","8.65","9.78","10.27","10.30","10.93","12.95","12.80","13.20","12.45","12.53","12.34","12.17","14.17","14.13","14.55","14.74","15.17","15.88","14.67","15.09"
"Bahrain","Data source","All types","2.95","2.55","6.13","4.90","4.70","4.64","5.00","5.11","5.30","5.39","4.89","4.94","5.59","5.10","5.46","6.66","7.09","6.16","4.37","4.20"
"Bangladesh","Data source","All types","0","0","0","0","0","0.01","0","0.01","0","0.01","0","0","0","0","0","0","0","0","0","0"
"Barbados","Data source","All types","6.64","5.49","5.88","5.85","5.76","7.39","7.51","7.09","7.54","7.36","","","","","","","","","",""
"Belarus","Data source","All types","12.72","11.72","11.02","10.45","9.35","9.86","10.23","8.70","8.87","7.85","7.98","4.55","5.71","7.57","11.41","12.70","12.43","12.67","13.20","13.23"
"Belgium","Data source","All types","10.10","9.92","10.92","10.94","11.04","11.12","11.66","11.65","11.44","12.18","11.61","12.52","13.16","12.72","13.14","13.26","13.55","13.72","13.25","13.99"
"Belize","Data source","All types","5.20","5.23","5.16","5.23","5.94","5.55","6.35","5.69","4.91","5.21","","4.35","4.65","5.73","6.17","6.20","7.05","7.75","7.99","7.26"
"Benin","Data source","All types","1.17","1.26","1.17","1.28","0.83","0.70","0.96","0.83","0.77","0.94","1.38","1.35","1.53","1.25","1.23","1.42","1.64","2.49","2.34","1.86"
